n_gold,is_multi,hr_baseline,hr_graph,mrr_baseline,mrr_graph,f1_baseline,f1_graph
1,False,0.0,0.0,0.0,0.0,0.0,0.0
5,True,1.0,1.0,0.25,0.14285714285714285,0.13333333333333333,0.13333333333333333
1,False,0.0,1.0,0.0,0.16666666666666666,0.0,0.18181818181818182
2,True,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
7,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.33333333333333337
2,True,0.0,1.0,0.0,0.1,0.0,0.16666666666666669
1,False,0.0,0.0,0.0,0.0,0.0,0.0
11,True,1.0,1.0,1.0,1.0,0.8571428571428572,0.9523809523809523
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
7,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.14285714285714285,0.1,0.16666666666666669,0.16666666666666669
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,1.0,1.0,0.33333333333333337,0.33333333333333337
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
5,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
6,True,1.0,1.0,0.16666666666666666,0.2,0.25,0.37499999999999994
1,False,1.0,0.0,0.125,0.0,0.18181818181818182,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,1.0,1.0,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.33333333333333337
1,False,0.0,0.0,0.0,0.0,0.0,0.0
16,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,0.5,0.5,0.18181818181818182,0.18181818181818182
2,True,1.0,1.0,0.25,0.25,0.16666666666666669,0.16666666666666669
57,True,1.0,1.0,1.0,1.0,0.208955223880597,0.208955223880597
7,True,0.0,0.0,0.0,0.0,0.0,0.0
16,True,1.0,1.0,1.0,1.0,0.23076923076923075,0.4615384615384615
2,True,0.0,1.0,0.0,0.2,0.0,0.33333333333333337
2,True,1.0,1.0,0.25,0.25,0.16666666666666669,0.16666666666666669
2,True,1.0,1.0,1.0,1.0,0.16666666666666669,0.16666666666666669
5,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,0.0,0.0,0.0,0.0,0.0,0.0
4,True,1.0,0.0,0.1,0.0,0.14285714285714288,0.0
3,True,1.0,1.0,1.0,1.0,0.30769230769230765,0.4615384615384615
1,False,1.0,1.0,0.2,0.16666666666666666,0.18181818181818182,0.18181818181818182
3,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
1,False,0.0,0.0,0.0,0.0,0.0,0.0
3,True,0.0,1.0,0.0,0.14285714285714285,0.0,0.30769230769230765
36,True,0.0,0.0,0.0,0.0,0.0,0.0
2,True,0.0,0.0,0.0,0.0,0.0,0.0
1,False,1.0,1.0,1.0,1.0,0.18181818181818182,0.18181818181818182
27,True,0.0,0.0,0.0,0.0,0.0,0.0
