hr,mrr,f1
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.5,0.23529411764705882
1.0,1.0,0.8571428571428572
1.0,1.0,0.18181818181818182
1.0,0.5,0.33333333333333337
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.3333333333333333,0.4285714285714285
0.0,0.0,0.0
1.0,0.3333333333333333,0.18181818181818182
1.0,0.5,0.18181818181818182
0.0,0.0,0.0
1.0,1.0,0.13333333333333333
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.3333333333333333,0.11764705882352941
1.0,0.14285714285714285,0.4615384615384615
1.0,0.3333333333333333,0.18181818181818182
1.0,0.3333333333333333,0.4
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.1,0.16666666666666669
1.0,1.0,0.33333333333333337
1.0,1.0,0.13333333333333333
1.0,1.0,0.38461538461538464
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.18181818181818182
1.0,0.5,0.18181818181818182
0.0,0.0,0.0
1.0,0.16666666666666666,0.13333333333333333
0.0,0.0,0.0
1.0,1.0,0.33333333333333337
0.0,0.0,0.0
1.0,1.0,0.33333333333333337
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.8571428571428572
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.5,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.1111111111111111,0.125
1.0,0.125,0.18181818181818182
0.0,0.0,0.0
1.0,0.3333333333333333,0.33333333333333337
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.25,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.5,0.18181818181818182
1.0,0.2,0.16666666666666669
1.0,1.0,0.11940298507462686
1.0,0.14285714285714285,0.11764705882352941
1.0,1.0,0.23076923076923075
1.0,0.1,0.16666666666666669
1.0,0.25,0.16666666666666669
1.0,1.0,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.1,0.14285714285714288
1.0,0.3333333333333333,0.30769230769230765
1.0,0.3333333333333333,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.1,0.15384615384615383
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.5,0.18181818181818182
0.0,0.0,0.0
1.0,0.3333333333333333,0.18181818181818182
1.0,0.2,0.029850746268656716
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.5,0.37499999999999994
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.9523809523809523
0.0,0.0,0.0
1.0,0.25,0.16666666666666669
1.0,0.5,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.3157894736842105
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.3333333333333333,0.18181818181818182
1.0,0.14285714285714285,0.15384615384615383
1.0,1.0,0.16666666666666669
1.0,1.0,0.15384615384615383
1.0,0.2,0.16666666666666669
1.0,0.3333333333333333,0.23076923076923075
1.0,1.0,0.18181818181818182
1.0,0.125,0.13333333333333333
1.0,0.3333333333333333,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.25,0.18181818181818182
1.0,1.0,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.23880597014925373
1.0,1.0,0.23076923076923075
1.0,1.0,0.9523809523809523
1.0,0.1,0.11764705882352941
1.0,0.5,0.26666666666666666
1.0,0.14285714285714285,0.18181818181818182
1.0,0.2,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.3333333333333333,0.37499999999999994
0.0,0.0,0.0
1.0,0.5,0.18181818181818182
0.0,0.0,0.0
1.0,1.0,0.33333333333333337
0.0,0.0,0.0
1.0,0.5,0.0909090909090909
0.0,0.0,0.0
1.0,0.125,0.18181818181818182
1.0,0.3333333333333333,0.15384615384615383
0.0,0.0,0.0
1.0,0.14285714285714285,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.38461538461538464
0.0,0.0,0.0
1.0,1.0,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.125,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.25,0.18181818181818182
1.0,1.0,0.18181818181818182
1.0,1.0,0.16666666666666669
1.0,1.0,0.18181818181818182
1.0,0.125,0.15384615384615383
0.0,0.0,0.0
1.0,1.0,0.18181818181818182
1.0,1.0,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.5000000000000001
0.0,0.0,0.0
1.0,1.0,0.18181818181818182
1.0,0.2,0.08695652173913043
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.25,0.11111111111111112
0.0,0.0,0.0
1.0,1.0,0.25
0.0,0.0,0.0
1.0,0.5,0.16666666666666669
1.0,0.25,0.30769230769230765
0.0,0.0,0.0
1.0,1.0,0.5333333333333333
0.0,0.0,0.0
1.0,1.0,0.07692307692307693
0.0,0.0,0.0
1.0,0.2,0.25
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.5,0.15384615384615383
1.0,0.3333333333333333,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.25,0.13333333333333333
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.3333333333333333,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.5625000000000001
1.0,0.2,0.16666666666666669
1.0,1.0,0.16666666666666669
0.0,0.0,0.0
1.0,0.16666666666666666,0.029850746268656716
1.0,0.5,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.25,0.15384615384615383
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.25,0.16666666666666669
1.0,1.0,0.28571428571428575
1.0,0.25,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.25,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.18181818181818182
1.0,1.0,0.08955223880597013
1.0,0.3333333333333333,0.029850746268656716
1.0,0.5,0.16666666666666669
0.0,0.0,0.0
1.0,0.16666666666666666,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.18181818181818182
0.0,0.0,0.0
0.0,0.0,0.0
1.0,0.5,0.16666666666666669
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1.0,1.0,0.33333333333333337
1.0,1.0,0.30769230769230765
1.0,0.3333333333333333,0.18181818181818182
